id	relative_path	binary_format	cluster	critical	size_bytes	sha256	class	machine	type	soname	needed_count	needed	defined_symbols	undefined_symbols	jni_exports	vk_exports	string_markers
lib__wine__aarch64-windows__activeds.tlb	lib/wine/aarch64-windows/activeds.tlb	pe	misc	True	49152	94ae23cd422cfaddd130af352084c3e1296d9831521a8e1207213f7f095d5573		unknown		activeds.tlb	0		0	0	0	0	wine
lib__wine__aarch64-windows__actxprxy.dll	lib/wine/aarch64-windows/actxprxy.dll	pe	misc	True	1683456	aa35dac55bd65a07293c3e6efd7b72807ccc892c09d8c244c498cc221d1f7cdb		unknown		actxprxy.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__adsldp.dll	lib/wine/aarch64-windows/adsldp.dll	pe	misc	True	606208	42f1f3c205f65048ce752af40aff72e4e71a71522888f4d502a63e72ac3e0721		unknown		adsldp.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__adsldpc.dll	lib/wine/aarch64-windows/adsldpc.dll	pe	misc	True	106496	665f76cee01c097537c047235ead509640430c997e14140b51757c361fb74621		unknown		adsldpc.dll	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__advapi32.dll	lib/wine/aarch64-windows/advapi32.dll	pe	cpu_translation	True	1880064	d222e27a1c86abb0e039ab3548b958dd0ebb8fc369441052c919251ebf71e619		unknown		advapi32.dll	0		0	0	0	0	fex|kernel32|ntdll|proton|steam|wine|wow64
lib__wine__aarch64-windows__advpack.dll	lib/wine/aarch64-windows/advpack.dll	pe	misc	True	602112	947e1f8524d7c92af5d00b744a8148d6db43bf05988802d622b3ec7bde4b8a15		unknown		advpack.dll	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__amdxc64.dll	lib/wine/aarch64-windows/amdxc64.dll	pe	misc	True	286720	c0fb16a4f4bf0973544d94c4e78912ea0ae1b3e1c63741ad8229f6d6ff9c9574		unknown		amdxc64.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__amsi.dll	lib/wine/aarch64-windows/amsi.dll	pe	misc	True	151552	e213a376e5185571da2eaf4bc556275fd7376b3b4f857e00d91c81d638907d6f		unknown		amsi.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__amstream.dll	lib/wine/aarch64-windows/amstream.dll	pe	misc	True	1753088	01a787225165e49ef0d71e05904a8b7a5e87d34ce6135e40f92b7fc0bcde16de		unknown		amstream.dll	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__apisetschema.dll	lib/wine/aarch64-windows/apisetschema.dll	pe	misc	True	69632	8c89e69e9725f13a8956ae52b05e993063a5aaf3369d954ca21e5d8670f37b9b		unknown		apisetschema.dll	0		0	0	0	0	wine
lib__wine__aarch64-windows__apphelp.dll	lib/wine/aarch64-windows/apphelp.dll	pe	misc	True	184320	c7436dd4b428c767ad510ef23caed3f77b84ea60aebead9bc4b8200c13390722		unknown		apphelp.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__appwiz.cpl	lib/wine/aarch64-windows/appwiz.cpl	pe	cpu_translation	True	634880	5fed0f9ab5efe4fd0307ee8cc306ca31544332514de9b699106a8cee4e1140d7		unknown		appwiz.cpl	0		0	0	0	0	fex|kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__appxdeploymentclient.dll	lib/wine/aarch64-windows/appxdeploymentclient.dll	pe	cpu_translation	True	516096	8eae4227cf6e5b1df7571db4ca0eb7819ee84fe67a21b5465e7a62cd5decc755		unknown		appxdeploymentclient.dll	0		0	0	0	0	fex|kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__arp.exe	lib/wine/aarch64-windows/arp.exe	pe	misc	True	90112	3638f1877e992d5dd6d1612f56cb2e5119b6691efff37b1f714377547ab89432		unknown		arp.exe	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__aspnet_regiis.exe	lib/wine/aarch64-windows/aspnet_regiis.exe	pe	misc	True	90112	62ef9a3d1d96377e3995d4566d6f769e13b9e3bae95f9638c884a8f2c7660495		unknown		aspnet_regiis.exe	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__atiadlxx.dll	lib/wine/aarch64-windows/atiadlxx.dll	pe	misc	True	757760	cf4f9f836be2cad7479914a11ad7d092a9fc893f26996e13b86b001bbc6cf63a		unknown		atiadlxx.dll	0		0	0	0	0	kernel32|ntdll|proton|vulkan|wine
lib__wine__aarch64-windows__atl.dll	lib/wine/aarch64-windows/atl.dll	pe	misc	True	1282048	95b2593692adb4c03d57a03b476bb3a7338719489ec5693620221cb85d207b83		unknown		atl.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
