id	relative_path	binary_format	cluster	critical	size_bytes	sha256	class	machine	type	soname	needed_count	needed	defined_symbols	undefined_symbols	jni_exports	vk_exports	string_markers
lib__wine__i386-windows__msvcp100.dll	lib/wine/i386-windows/msvcp100.dll	pe	cpu_translation	True	2318336	094d4d6c0161c458f5ef73096fe8ea38948614c7593e1b52d03b3c74068fc4c2		unknown		msvcp100.dll	3	msvcr100.dll|kernel32.dll|ntdll.dll	0	0	0	0	fex|kernel32|ntdll|proton|wine
lib__wine__i386-windows__msvcp110.dll	lib/wine/i386-windows/msvcp110.dll	pe	cpu_translation	True	2387968	1c1a8fa71cdd66b8562e68f7638a10822272156e787c54fa544d5fd20ce69e51		unknown		msvcp110.dll	3	msvcr110.dll|kernel32.dll|ntdll.dll	0	0	0	0	fex|kernel32|ntdll|proton|wine
lib__wine__i386-windows__msvcp120.dll	lib/wine/i386-windows/msvcp120.dll	pe	cpu_translation	True	2379776	3e937ac1c78153b4738cad11eb12889a0d369ac530ce093ae85d9011e3b225fb		unknown		msvcp120.dll	3	msvcr120.dll|kernel32.dll|ntdll.dll	0	0	0	0	fex|kernel32|ntdll|proton|wine
lib__wine__i386-windows__msvcp120_app.dll	lib/wine/i386-windows/msvcp120_app.dll	pe	cpu_translation	True	294912	3e3fb2c990c5fb5095a21865de3fadac5fe3efd3f87b8458bb164f335894dd51		unknown		msvcp120_app.dll	1	kernel32.dll	0	0	0	0	fex|kernel32|proton|wine
lib__wine__i386-windows__msvcp140.dll	lib/wine/i386-windows/msvcp140.dll	pe	cpu_translation	True	2437120	134200d581f21f45849ed49c75edd2e17837c54bd0770c97cb03e0918ecb2d85		unknown		msvcp140.dll	4	vcruntime140.dll|ucrtbase.dll|kernel32.dll|ntdll.dll	0	0	0	0	fex|kernel32|ntdll|proton|wine
lib__wine__i386-windows__msvcp140_1.dll	lib/wine/i386-windows/msvcp140_1.dll	pe	misc	True	73728	140815d59c3ab48d171359fa51ae14e70402847cf566174c98b62a2d8f0121ca		unknown		msvcp140_1.dll	3	ucrtbase.dll|kernel32.dll|ntdll.dll	0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__i386-windows__msvcp140_2.dll	lib/wine/i386-windows/msvcp140_2.dll	pe	misc	True	61440	3844561122dab7f34eadc4171e6facf7885bb40af731e620237907b00364afb8		unknown		msvcp140_2.dll	2	ucrtbase.dll|kernel32.dll	0	0	0	0	kernel32|proton|wine
lib__wine__i386-windows__msvcp140_atomic_wait.dll	lib/wine/i386-windows/msvcp140_atomic_wait.dll	pe	misc	True	86016	0f08aa6711db87ddd758483a412f000d730653596e7f6dd6e3b4c66e3b687731		unknown		msvcp140_atomic_wait.dll	4	kernelbase.dll|msvcp140.dll|ucrtbase.dll|ntdll.dll	0	0	0	0	ntdll|proton|wine
lib__wine__i386-windows__msvcp140_codecvt_ids.dll	lib/wine/i386-windows/msvcp140_codecvt_ids.dll	pe	misc	True	40960	7531590887180fe62d3b08b9280e1c7e45395b4ec8b644a72a1111247e87a1dc		unknown		msvcp140_codecvt_ids.dll	1	kernel32.dll	0	0	0	0	kernel32|proton|wine
lib__wine__i386-windows__msvcp60.dll	lib/wine/i386-windows/msvcp60.dll	pe	cpu_translation	True	2154496	a4a7408dd7e6dbd4bd0994b154ee97956fa5326bcbe48986645c2ad854a272e6		unknown		msvcp60.dll	3	msvcrt.dll|kernel32.dll|ntdll.dll	0	0	0	0	fex|kernel32|ntdll|proton|wine
lib__wine__i386-windows__msvcp70.dll	lib/wine/i386-windows/msvcp70.dll	pe	cpu_translation	True	2547712	523c5fa05a0ee5970162e0f096f6474cb37188e6ce87f96d94a79b2eb408f698		unknown		msvcp70.dll	3	msvcr70.dll|kernel32.dll|ntdll.dll	0	0	0	0	fex|kernel32|ntdll|proton|wine
lib__wine__i386-windows__msvcp71.dll	lib/wine/i386-windows/msvcp71.dll	pe	cpu_translation	True	2527232	fff583de26ee6824e14837b256c4d21bb17e89b372860c41075b0b15b7f1a9b6		unknown		msvcp71.dll	3	msvcr71.dll|kernel32.dll|ntdll.dll	0	0	0	0	fex|kernel32|ntdll|proton|wine
lib__wine__i386-windows__msvcp80.dll	lib/wine/i386-windows/msvcp80.dll	pe	cpu_translation	True	2596864	d6ec50ce627d10d84a6269f9d4d0afbbdd2de13fde54683f117b1f7ee75a910a		unknown		msvcp80.dll	3	msvcr80.dll|kernel32.dll|ntdll.dll	0	0	0	0	fex|kernel32|ntdll|proton|wine
lib__wine__i386-windows__msvcp90.dll	lib/wine/i386-windows/msvcp90.dll	pe	cpu_translation	True	2600960	9b29ba14565fc3c92b58b92fd8eaf2474f3f58b563bd12c44ede720fe957889b		unknown		msvcp90.dll	3	msvcr90.dll|kernel32.dll|ntdll.dll	0	0	0	0	fex|kernel32|ntdll|proton|wine
lib__wine__i386-windows__msvcp_win.dll	lib/wine/i386-windows/msvcp_win.dll	pe	cpu_translation	True	294912	6c83e54ea805687a4335a2ba44e6c19d24c426b25e8fab79fc6d574ab36126b7		unknown		msvcp_win.dll	1	kernel32.dll	0	0	0	0	fex|kernel32|proton|wine
lib__wine__i386-windows__msvcr100.dll	lib/wine/i386-windows/msvcr100.dll	pe	misc	True	2555904	c6496cc59ddd47e09779980b1289f27052b27b3d0e79936d85aa2e438b140e86		unknown		msvcr100.dll	2	ntdll.dll|kernel32.dll	0	0	0	0	WRAPPER_|kernel32|ntdll|proton|wine
