id	relative_path	binary_format	cluster	critical	size_bytes	sha256	class	machine	type	soname	needed_count	needed	defined_symbols	undefined_symbols	jni_exports	vk_exports	string_markers
lib__wine__aarch64-windows__netutils.dll	lib/wine/aarch64-windows/netutils.dll	pe	misc	True	983040	b4c34683153bace81c06ee0932b1a066e0f6e59b5e0a2e206862f0a25053522e		unknown		netutils.dll	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__newdev.dll	lib/wine/aarch64-windows/newdev.dll	pe	misc	True	983040	711a178362689b04b127263b23799aa648cbb33a6d568f3aedcc186c8100ad7a		unknown		newdev.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__ngen.exe	lib/wine/aarch64-windows/ngen.exe	pe	misc	True	917504	1b894b7228e9a713109fc12667c4b31023b12b97bae19bb772380bfa5526b7ca		unknown		ngen.exe	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__ninput.dll	lib/wine/aarch64-windows/ninput.dll	pe	misc	True	983040	dfa34c4cd6e41fde9eb0a95806676daa1b4bb20142c2673122fa276b7465f6df		unknown		ninput.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__normaliz.dll	lib/wine/aarch64-windows/normaliz.dll	pe	misc	True	131072	085aa10e1665d1a8717f4e5203cb589837bd68a150bd589b1b26e88e64b961de		unknown		normaliz.dll	0		0	0	0	0	kernel32|wine
lib__wine__aarch64-windows__notepad.exe	lib/wine/aarch64-windows/notepad.exe	pe	cpu_translation	True	851968	c4196c101500315638f6ae119041363bdffe73b297b9608230bcb863942d4579		unknown		notepad.exe	0		0	0	0	0	fex|kernel32|proton|wine|wow64
lib__wine__aarch64-windows__npmshtml.dll	lib/wine/aarch64-windows/npmshtml.dll	pe	misc	True	1048576	000ecc61cef633c5bc23161c05efa597e7a63d479e5097d8eaea067615cef930		unknown		npmshtml.dll	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__npptools.dll	lib/wine/aarch64-windows/npptools.dll	pe	misc	True	917504	4a94625e1d7666ebfb43f0d2b671efda708be68e78aad023ddbc0d68a2679fd4		unknown		npptools.dll	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__nsi.dll	lib/wine/aarch64-windows/nsi.dll	pe	misc	True	983040	4cbd59963f4a63acd3314400ea6583b14f5a8bd5c9863444f386fc5f24cfb538		unknown		nsi.dll	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__nsiproxy.sys	lib/wine/aarch64-windows/nsiproxy.sys	pe	cpu_translation	True	983040	07fe5acf7417a9e4ed9e6aee2796a7383cfef22cafae92350488d6fb458f5530		unknown		nsiproxy.sys	0		0	0	0	0	fex|kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__ntdll.dll	lib/wine/aarch64-windows/ntdll.dll	pe	wine_runtime_core	True	1769472	baff65b1cdb17815a75de7c8cd78c291b605e5bbf41ed5c08c5f599a552f96b0		unknown		ntdll.dll	0		0	0	0	0	fex|kernel32|ntdll|steam|wine|wow64|x11
lib__wine__aarch64-windows__ntdsapi.dll	lib/wine/aarch64-windows/ntdsapi.dll	pe	misc	True	983040	4eb89babc704b6d8f56ad49d2ac8d4e202b0ee732e239a3a54a1ada48fdecbec		unknown		ntdsapi.dll	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__ntoskrnl.exe	lib/wine/aarch64-windows/ntoskrnl.exe	pe	cpu_translation	True	2949120	de00d7c4876c0015b974a7621cc00e753bc3173653a545733adceec83f76a40c		unknown		ntoskrnl.exe	0		0	0	0	0	fex|kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__ntprint.dll	lib/wine/aarch64-windows/ntprint.dll	pe	misc	True	1048576	eb055e5bd81d4114eb19464847076c3f3b6c59f0a848e099d5dd340ed6bb0c9c		unknown		ntprint.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__objsel.dll	lib/wine/aarch64-windows/objsel.dll	pe	misc	True	1507328	258c8cc586e2b2aac07158149011786391d5dc4368ac84bc7a1fe1f60f2203ac		unknown		objsel.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__odbc32.dll	lib/wine/aarch64-windows/odbc32.dll	pe	cpu_translation	True	2031616	85ab4918bc38805579c7e6409d5cef029a2561164c1a7cd052f8883622ff5158		unknown		odbc32.dll	0		0	0	0	0	fex|kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__odbcbcp.dll	lib/wine/aarch64-windows/odbcbcp.dll	pe	misc	True	917504	fa2bba1e1e6442644b328cbbe3e223c1cae5a70fca30257b4abe5102923ddc87		unknown		odbcbcp.dll	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__odbccp32.dll	lib/wine/aarch64-windows/odbccp32.dll	pe	misc	True	1114112	5c380fdc3f0ae8e7f2dc56c4f1ef6e6f24403a8d1ba37de001fafb7492c343d7		unknown		odbccp32.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
