id	relative_path	binary_format	cluster	critical	size_bytes	sha256	class	machine	type	soname	needed_count	needed	defined_symbols	undefined_symbols	jni_exports	vk_exports	string_markers
lib__wine__aarch64-windows__regedit.exe	lib/wine/aarch64-windows/regedit.exe	pe	cpu_translation	True	466944	9d65708bee5e6cec1749388ff884df2b34f45002a8e38084e5cf5f4a3851cbe8		unknown		regedit.exe	0		0	0	0	0	fex|kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__regini.exe	lib/wine/aarch64-windows/regini.exe	pe	misc	True	90112	965f07de12536b4de1df02e680d6389ed83e90678fb0131d3d196a8f54ae511b		unknown		regini.exe	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__regsvcs.exe	lib/wine/aarch64-windows/regsvcs.exe	pe	misc	True	90112	268272d45c329645783bb2545963ed5a277ef39ed4a8a7e3b01dc975b6617125		unknown		regsvcs.exe	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__regsvr32.exe	lib/wine/aarch64-windows/regsvr32.exe	pe	misc	True	270336	1f41b810d6a5104c5530d896c48baf2bfb561b058b2ec5f86994fb88e39c057d		unknown		regsvr32.exe	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__resampledmo.dll	lib/wine/aarch64-windows/resampledmo.dll	pe	misc	True	942080	c7aaa77b3229fc1ef8582b312ec650b0843a07db13d239a4ef7eeab6c324786c		unknown		resampledmo.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__resutils.dll	lib/wine/aarch64-windows/resutils.dll	pe	misc	True	90112	ff971ba7bdc6b35472c5f324f59ea59229adf533ba6c9a28decb77fac1d66187		unknown		resutils.dll	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__riched20.dll	lib/wine/aarch64-windows/riched20.dll	pe	cpu_translation	True	4538368	35a869631f0de7959c44fcea4df2788247e03e7e8efc8481ac7bdb41b70be502		unknown		riched20.dll	0		0	0	0	0	fex|kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__riched32.dll	lib/wine/aarch64-windows/riched32.dll	pe	misc	True	126976	e2777093e401c0e164f57d64c6a3d8f4503409f5056612edb55f44815cd01c67		unknown		riched32.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__robocopy.exe	lib/wine/aarch64-windows/robocopy.exe	pe	misc	True	86016	719dbebdc931c616d700431d58ed15e1f7c851d2a2f49eee28ccabc570d14ee7		unknown		robocopy.exe	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__rometadata.dll	lib/wine/aarch64-windows/rometadata.dll	pe	misc	True	237568	2a5e896315ea17d62eaf649ed34ffc0c4fb790c25ae547927f70a91969ced6cd		unknown		rometadata.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__rpcrt4.dll	lib/wine/aarch64-windows/rpcrt4.dll	pe	cpu_translation	True	4460544	004f3e7bc3146c620a87655b4b164fa1e4633a769d96602365e11869b70d794a		unknown		rpcrt4.dll	0		0	0	0	0	fex|kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__rpcss.exe	lib/wine/aarch64-windows/rpcss.exe	pe	misc	True	176128	d70b7b7422fab7cf8a1d93d2bb0ac16501f3c5c3d54de334652706f5b99f9e0f		unknown		rpcss.exe	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__rsabase.dll	lib/wine/aarch64-windows/rsabase.dll	pe	misc	True	81920	770e792e4f034ad48a434a5eb6e93f4aa9069816170afebd80466849ff7e2472		unknown		rsabase.dll	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__rsaenh.dll	lib/wine/aarch64-windows/rsaenh.dll	pe	misc	True	1163264	2f9fae4b35ae9d7e54bfe42e7870ea0e3e728221fd446c6778ab25692c3afde7		unknown		rsaenh.dll	0		0	0	0	0	kernel32|ntdll|proton|steam|wine|wow64
lib__wine__aarch64-windows__rstrtmgr.dll	lib/wine/aarch64-windows/rstrtmgr.dll	pe	misc	True	135168	7eb9b888f67b092dfbe16c1ffdb20e879bd067524fb6b0de286f215e9a6ca5df		unknown		rstrtmgr.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__rtutils.dll	lib/wine/aarch64-windows/rtutils.dll	pe	cpu_translation	True	135168	90111113f7c8197e069c3c2895776b9bae4196ec67bbb7adcdff92215b015960		unknown		rtutils.dll	0		0	0	0	0	fex|kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__rtworkq.dll	lib/wine/aarch64-windows/rtworkq.dll	pe	misc	True	344064	b51eb92a30f22c9039a04c9e89076509463d2bf39e18dfba8c92bc8297ccc715		unknown		rtworkq.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__rundll32.exe	lib/wine/aarch64-windows/rundll32.exe	pe	misc	True	270336	b49ac0915154648f5e89a12bb39584cb24e691a217e340db29d0a822de70ef2c		unknown		rundll32.exe	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__samlib.dll	lib/wine/aarch64-windows/samlib.dll	pe	misc	True	86016	5ab825c76311cd0c1ad6609f2e6f7cf4503b40a5b26900e51f2e8aaf52d9ece5		unknown		samlib.dll	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__sapi.dll	lib/wine/aarch64-windows/sapi.dll	pe	misc	True	2134016	e9c41d5d144f7e8f2ad3a88364b2f56ed18c86b891e6585dec170acb501ee286		unknown		sapi.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__sas.dll	lib/wine/aarch64-windows/sas.dll	pe	misc	True	77824	cc41cc6621cd353bfa6c2ec56c131b30fedef4334577e9683239a3aada78d35d		unknown		sas.dll	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__sc.exe	lib/wine/aarch64-windows/sc.exe	pe	misc	True	118784	05dd112a5aed548cba974354c9c2639314a1505ab93cd00a39b516cd99d388b8		unknown		sc.exe	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
